


	General			R-Principles:				Glossary
	What	Explanation		Number	Name	Description		Term	Explanation
	Goal	This file is a collection of key performance indicators (KPIs) with information related to its description, calculation, categories, and references. All KPIs are meant to be product focused and not organizational wide.		R0	Refuse	To avoid unnecessary products and materials.		ESRS	A reporting standard framework for sustainability performance and impact that is in line with the Corporate Sustainability Reporting Directive (CSRD). Stands for European Sustainability Reporting Standards.
	Structure	We have a hierarchical structure with the highest level KPIs (ERC) being:\n- Environmental Impact\n- Economic Viability\n- Circular Efforts\n- Resource Efficiency\n- Social Impact		R1	Rethink	To innovate and redesign products for better sustainability.		SASB	A standard across various industry-specific sectors, addressing environmental, social, and governance (ESG) issues that are most likely to impact financial outcomes. Stands for Sustainability Accounting Standards Board.
	How It Works	- Data metrics, which are the foundation of the KPI calculations, are provided by the user. The metrics rows are colored gray except in the "Metrics List" tab.\n\n- The KPI system calculates the score by using any available data. For example, if no social impact KPIs were successfully calculated due to missing data, the weight are set to 0 automatically.\n\n- Weights have planned value, specified beforehand, and actual value, which will be dynamically calculated on missing values.		R2	Reduce	The minimization of resource consumption and waste generation.		GRI	A reporting standard to disclose economic, environmental, and social performance. Stands for Global Reporting Initiative.
				R3	Reuse	The re-using of used product with minimal effort in restoring the quality.		LCA	In this context, a possible data source for obtaining metric data for calculation. Stands for Life Cycle Assessment.  Commonly associated with OpenLCA & Gabi software.
				R4	Repair	The use of broken products without substantial effort to extend their lifespan.		LCC	In this context, a possible data source for obtaining metric data for calculation specifically for monetary data. Stands for Life Cycle Cost (Analysis). 
				R5	Refurbish	The restoration of disposed products to good working condition, often updating them in the process.		PLC	A category, where PLC stands for Product Life Cycle. It serves as a high level categorization of the indicators into the life cycle phases. It combines the traditional life cycles with the product manufacturing life cycle. The phases consists of: Planning, Sourcing, Manufacturing, Distribution, Use, End of Life.
				R6	Remanufacture	The disassembly and recovery of disposed product components into a new unit to at least it's original quality. The process: Disassembly, testing, repair, cleaning, inspection, updating, component replacement and assembly.		Normalized	Min-max normalization. Transforms values linearly to fit the 0…1 range. It needs the expected minimum and maximal value which is defined by the company themselves.\n\nNormalized Score = (Value - Minimum) / (Maximum - Minimum). Score is strictly limited at the min max range.
				R7	Repurpose	The use of disposed product components for a different purpose.		Inflow	All of X supplied to the process scope. (e.g. energy inflow = total energy going into the product manufacturing process)
				R8	Recycle	Process disposed materials as input to create new products instead of discarding them.		Outflow	All of X leaving the process scope. (e.g. mass outflow = total mass leaving the product manufacturing process, could be in the form of waste or byproduct)
				R9	Recover	\tExtract useful materials or energy from disposed waste.

