Title	Description	Label	Type	Link	Comment
IFRS S2	Sets out what an entity must disclose about its climate-related risks and opportunities, aimed at readers of general purpose financial reports. IFRS S2 Climate-related Disclosures.	IFRS S2	Industry Standard	https://www.ifrs.org/issued-standards/ifrs-sustainability-standards-navigator/ifrs-s2-climate-related-disclosures/
Sustainability Accounting Standards Board	Industry-specific guidance for applying IFRS S1, used where no IFRS Sustainability Disclosure Standard covers the topic. The standards name the sustainability risks and opportunities that matter most to investors in 77 industries. The independent SASB Standards Board approves them.	SASB	Industry Standard	https://www.ifrs.org/issued-standards/sasb-standards/	An extension for applying IFRS information disclosure. Until now, only <10 industries relevant to project partners are selected.
SASB Containers & Packaging	Containers and packaging entities convert metal, plastic, paper and glass into packaging products such as corrugated cardboard, aluminium cans and steel drums. Most sell business to business, and many operate globally.	SASB-RT-CP	Industry Standard	https://navigator.sasb.ifrs.org/sector/RT/industry/RT-CP
SASB Industrial Machinery & Goods	Industrial machinery and goods entities build equipment for construction, agriculture, energy, mining and transportation, including engines, pumps and turbines. Production consumes large amounts of steel, plastics, rubber and glass. Demand tracks industrial production, and emissions rules push efficiency improvements in the use phase.	SASB-RT-IG	Industry Standard	https://navigator.sasb.ifrs.org/sector/RT/industry/RT-IG
SASB Electrical & Electronic Equipment	Electrical and electronic equipment entities make power generation equipment, transformers, motors, switchboards, automation controls and cables. The scope covers building equipment such as HVAC systems and elevators, plus components like coils and wires. These entities compete globally and earn much of their revenue outside their home country.	SASB-RT-EE	Industry Standard	https://navigator.sasb.ifrs.org/sector/RT/industry/RT-EE
SASB Hardware	Hardware entities design and sell computers, consumer electronics, communications equipment, storage devices and peripherals. Many depend on contract manufacturers for production.	SASB-TC-HW	Industry Standard	https://navigator.sasb.ifrs.org/sector/TC/industry/TC-HW
SASB Software & IT Services	Software and IT services entities sell applications software, infrastructure software and middleware to retail, business and government customers. The industry also covers consulting and outsourced IT functions. Newer models include cloud computing, software as a service and machine learning. Brand value matters here because wide adoption of one product tends to drive further sales.	SASB-TC-SI	Industry Standard	https://navigator.sasb.ifrs.org/sector/TC/industry/TC-SI
SASB Road Transportation	Road transportation entities run long-haul and short-haul freight trucking, split between truckload and less-than-truckload carriage. Owner-operators make up most of the industry because entry is easy. A few large operators hold share through contracts with major shippers, and often subcontract to owner-operators.	SASB-TR-RO	Industry Standard	https://navigator.sasb.ifrs.org/sector/TR/industry/TR-RO
Global Reporting Initiative	A reporting framework that lets any organization report its impacts on the economy, the environment and people in a comparable form. Investors, policymakers and civil society also use the standards.	GRI	Industry Standard	https://www.globalreporting.org/how-to-use-the-gri-standards/gri-standards-english-language/	A set of 42 files, ranging from specific materials to social aspects.
Sustainability of construction works - Environmental product declarations - Core rules for the product category of construction products	European standard that provides a framework for the assessment of the environmental performance of construction products. It specifies the principles and requirements for the development of Environmental Product Declarations (EPDs) for construction products, ensuring consistency and transparency in the reporting of their environmental impacts throughout their life cycle.	EN 15804	Industry Standard	https://www.din.de/en/getting-involved/standards-committees/nabau/publications/wdc-beuth:din21:344735627	We focus on the 15804+A2 Update of module D.
Method to achieve circular designs of products	Gives requirements and guidance for building circularity into product design and development. It helps an organization write product design rules that meet its circular business targets or legal obligations. Life cycle thinking is the core principle, and the document covers the trade-offs that arise without sacrificing safety. The focus is material efficiency.	EN 45560	Industry Standard	https://www.dinmedia.de/de/norm/din-en-45560/385406553
General method for assessing the proportion of recycled material content\nin energyrelated products;	Gives a general method for assessing how much recycled material an energy-related product contains. It serves as the framework for defining that assessment within specific product groups.	EN 45557	Industry Standard	https://www.dinmedia.de/de/norm/din-en-45557/316877808
General methods for the assessment of the ability to repair, reuse and\nupgrade energyrelated products	Gives generic criteria and methods for assessing how easily parts come out of a product for repair, reuse or upgrade.	EN 45554	Industry Standard	https://www.dinmedia.de/de/norm/din-en-45554/327255150
General method for the assessment of the ability to remanufacture energy related\nproducts	Gives a general method for assessing whether an energy-related product can be remanufactured, for use by technical committees writing product-specific publications. It identifies seven process steps that remanufacturing depends on.	EN 45553	Industry Standard	https://www.dinmedia.de/de/norm/din-en-45553/329118668
ISO 26000	Guidance on social responsibility, covering what the term means and how to turn its principles into action. It applies to any organization regardless of activity, size or location.	ISO 26000	Industry Standard	https://www.iso.org/iso-26000-social-responsibility.html	Mentions that companies should contribute to community i.e. supplies from local commerce and producers.
ISO 10004	Guidance on setting up processes that monitor and measure customer satisfaction. It applies to any organization and addresses customers outside the organization.	ISO 10004	Industry Standard	https://www.iso.org/standard/71582.html
ISO 9001:2015	The quality management standard. It sets requirements for establishing, maintaining and improving a quality management system (QMS), and applies to organizations of any size or sector.	ISO 9001	Industry Standard	https://www.iso.org/standard/62085.html
C2C Certification Framework	The Cradle to Cradle Certified Product Standard (Full Scope) assesses the circularity and sustainability of materials and products. It scores five categories: material health, product circularity, clean air and climate protection, water and soil stewardship, and social fairness.	C2C	Industry Standard	https://c2ccertified.org/the-standard	Most research paper mentions the 2016 version, but there are currently no direct link to that version. Here we roughly refer to the C2C standard from all version, until 4.1
Design of Indicators for Measuring Product Performance in the Circular Economy	Assesses what a circular economy indicator should measure and how to present it. The prototype uses a points-based questionnaire, which resolves to one value between a minimum and a maximum limit. A chemical processing product serves as the test case. The paper also reports that a single aggregate metric can mislead, and that the scoring rests on context-specific assumptions.	CS+16	Research Paper	https://doi.org/10.1007/978-3-319-32098-4_27	Provides a list of binary metrics with weights to consider the overall performance.
Proposing an integrated indicator to measure product repairability	Presents the Product Repairability Index (PRI), which scores a product from the repairability of its parts. The index combines assembly and disassembly complexity, repair instructions, spare-part availability, and self-diagnosis aids. It weights each part by how important that part is to the whole assembly. A coffee machine case study shows which parts to redesign.	RM+23	Research Paper	https://doi.org/10.1016/j.jclepro.2023.136434	5 parameters on the product's repairability indicator are taken as inspiration for the "Design of Disassembly" indicator. Referenced info focuses on exact products e.g. with screws, tools, etc.
A dataset of characterization factors for biodiversity impact assessment in OpenLCA and LCA for experts	Supplies characterization factors for biodiversity impact from land occupation, calculated with the Biodiversity Value Increment (BVI) method. The factors cover the Agribalyse 3.1.1, Ecoinvent 3.10 and Sphera LCA for Experts databases at global and country level. They account for both land-use intensity and location, and ship ready to use in OpenLCA 2.1.0.	JQ+25	Research Paper	https://doi.org/10.1016/j.dib.2025.111496	Provides the dataset for biodiversity impact values.
Valuing Biodiversity in Life Cycle Impact Assessment 	Proposes a life cycle impact assessment method that quantifies how land-using production affects biodiversity across broad land use classes. The default valuation rests on naturalness, and users can substitute regional conservation priorities. A consumer product serves as the worked example. The method yields output aggregated enough to compare raw materials and production routes.	JPL+19	Research Paper	https://doi.org/10.3390/su11205628	As the base definition for biodiversity value.
