#	Indicator Name	Description	Objective / Goal	Underlying Metrics	Parent Metrics	Potential Reference Values	Unit	Formula	Reference	Level	Data?	Data Source	Product Life Cycle Stages	Calculation Strategy	Example Value	Weight	Comment
EN1-1	Scope 1 - Direct Emissions	Direct emissions from owned/controlled sources (e.g., fuel combustion, company vehicles).	None	None	=HYPERLINK("#'Environmental Impact'!R[6]C[-5]","EN1-4\nEN131\nEN132\nEN133\nEN134\nEN135")	None	kg CO₂ eq.	None	ESRS E1-6\nIFRS S2\nSASB-RT-CP-110a.1	5	x	LCA	All	RAW_VALUE_STRATEGY
EN1-2	Scope 2 - Purchased Indirect Emissions	Indirect emissions from purchased electricity, heat, or steam.	None	None	=HYPERLINK("#'Environmental Impact'!R[6]C[-5]","EN1-4\nEN131\nEN132\nEN133\nEN134\nEN135")	None	kg CO₂ eq.	None	ESRS E1-6\nIFRS S2	5	x	LCA	All	RAW_VALUE_STRATEGY
EN1-3	Scope 3 - Other Indirect Emissions	Other indirect emissions from the value chain (e.g., supply chain, business travel, product use).	None	None	=HYPERLINK("#'Environmental Impact'!R[6]C[-5]","EN1-4\nEN131\nEN132\nEN133\nEN134\nEN135")	None	kg CO₂ eq.	None	ESRS E1-6\nIFRS S2	5	x	LCA	All	RAW_VALUE_STRATEGY
EN1-5	Comparable Industry PCF	The total greenhouse gas emissions of a comparable industry product across its lifecycle, taken from a PEF/EPD sector benchmark (a Product Environmental Footprint or EPD sector reference value for the product category).	None	None	=HYPERLINK("#'Environmental Impact'!A4:Q4","EN11")	None	kg CO₂ eq.	None		5	x	LCA	All	RAW_VALUE_STRATEGY
EN2-1	Energy consumption from renewable sources	Total trackable renewable energy used throughout the product's lifecycle.	None	None	=HYPERLINK("#'Environmental Impact'!A4:Q4","EN21")	None	kWh	None	RE+20	5	x		All	RAW_VALUE_STRATEGY
EN2-2	Total energy used	Total energy consumed throughout the product's lifecycle.	None	None	=HYPERLINK("#'Environmental Impact'!A19:Q19","EN21")	None	kWh	None		5	x		All	RAW_VALUE_STRATEGY
EN2-3	Water consumption from secondary sources	Total water utilized / reused from wastewater throughout the product's lifecycle.	None	None	=HYPERLINK("#'Environmental Impact'!A20:Q20","EN22")	None	m3	None		5	x		All	RAW_VALUE_STRATEGY	97500
EN2-4	Total water consumption	Total water consumption throughout the product's lifecycle.	None	None	=HYPERLINK("#'Environmental Impact'!A20:Q20","EN22")	None	m3	None		5	x		All	RAW_VALUE_STRATEGY	150000
EN3-1	Amount of hazardous waste	Total mass of hazardous waste produced throughout the product's lifecycle.	None	None	=HYPERLINK("#'Environmental Impact'!A26:Q26","EN31")	None	kg	None		5	x		D,U,E	RAW_VALUE_STRATEGY
EN3-2	Amount of hazardous materials	Total mass of hazardous material used throughout the product's lifecycle.	None	None	=HYPERLINK("#'Environmental Impact'!A27:Q27","EN32")	None	kg	None		5	x		S,M	RAW_VALUE_STRATEGY
EN3-3	Total materials used	Total mass of materials used throughout the product's lifecycle.	None	None	=HYPERLINK("#'Environmental Impact'!A27:Q27","EN32")	None	kg	None		5	x		P,S,M	RAW_VALUE_STRATEGY
EN4-1	Blue Water Footprint	Volume of freshwater withdrawn from surface or groundwater resources.	None	None	=HYPERLINK("#'Environmental Impact'!A32:Q32","EN41\nEN441\nEN442\nEN443\nEN444\nEN445")	None	m3	None	waterfootprintnetwork\nTF+25	5	x		All	RAW_VALUE_STRATEGY
EN4-2	Green Water Footprint	Volume of rainwater consumed (stored in soil or vegetation) during a product's lifecycle.	None	None	=HYPERLINK("#'Environmental Impact'!A32:Q32","EN441\nEN442\nEN443\nEN444\nEN445")	None	m3	None	waterfootprintnetwork\nTF+25	5	x		All	RAW_VALUE_STRATEGY
EN4-3	Gray Water Footprint	Volume of water required to dilute pollutants to meet water quality standards.	None	None	=HYPERLINK("#'Environmental Impact'!A36:Q36","EN441\nEN442\nEN443\nEN444\nEN445")	None	m3	None	waterfootprintnetwork\nTF+25	5	x		All	RAW_VALUE_STRATEGY
EN5-1	Land Quality Change	Measures the difference in ecological quality (or "naturalness") of land before and after it is used for a specific purpose.	None	None	=HYPERLINK("#'Environmental Impact'!A45:Q45","EN5")	None	BVI	None	JQ+25\nJPL+19	5	x		S,M	RAW_VALUE_STRATEGY
EN5-2	Land Use per Functional Unit	Measures the amount of land used involved in manufacturing the product	None	None	=HYPERLINK("#'Environmental Impact'!A45:Q45","EN5")	None	m2a / FU	None	JQ+25\nJPL+19\nEUPEF+21	5	x	LCA	S,M	RAW_VALUE_STRATEGY			A part of PEF Impact Factor of Land Use (Pt.)\nRaw m²a must be characterised (×CF) before feeding the PEF single score (EN9).
EN6-1	Ozone depletion	Measures the emissions of long-lived gases such as chlorofluorocarbons (CFCs), hydrochlorofluorocarbons (HCFCs), and Halons.	None	None	EN6	None	kg CFC-11 eq	EDIP model from ODPs of the World Meteorological Organisation (WMO) over an infinite time horizon	AO+24\nEUPEF+21	5	x	LCA	S,M,D	NORMALIZED_RATIO_STRATEGY		0.125	Product-level adaptation of org-level EF/PEF impact category (EUPEF+21).
EN6-2	Respiratory inorganics	Measures the adverse health effects on humans caused by Particulate Matter (PM) and its precursors, such as nitrogen oxides (NOx), sulfur oxides (SOx), and ammonia (NH3​)	None	None	EN6	None	Disease incidences per kg of PM2.5 (μm)	PM model (Fantke et al., 2016) as in EF/PEF	EUPEF+21	5	x	LCA	All	NORMALIZED_RATIO_STRATEGY		0.125	Product-level adaptation of org-level EF/PEF impact category (EUPEF+21).	 
EN6-3	Photochemical ozone formation	Measures the formation of ground-level (tropospheric) ozone, often referred to as "smog". It is caused by the photochemical oxidation of volatile organic compounds (VOCs) and carbon monoxide in the presence of nitrogen oxides and sunlight, which can damage vegetation and human respiratory tracts.	None	None	EN6	None	kg NMVOC eq.	LOTOS-EUROS model in ReCiPe	VZ+08\nEUPEF+21	5	x	LCA	All	NORMALIZED_RATIO_STRATEGY		0.125	Product-level adaptation of org-level EF/PEF impact category (EUPEF+21).
EN6-4	Eutrophication: Terrestrial	The product's contribution to terrestrial eutrophication: deposition of excess nitrogen compounds (from sources such as fertilisers and emissions) onto soils, measured as accumulated exceedance of critical loads (mol N eq). Self-normalized against the EF terrestrial-eutrophication normalisation factor.	None	None	EN6	None	Mole of N eq.	Accumulated Exceedance (AE) model	ILCD2011\nEUPEF+21	5	x	LCA	S,M	NORMALIZED_RATIO_STRATEGY		0.125	Product-level adaptation of org-level EF/PEF impact category (EUPEF+21).
EN6-5	Eutrophication: Marine	Measures the eutrophication occurs when excess nutrients (mainly nitrogen and phosphorus) from sources like fertilizers and sewage accelerate the growth of algae, which reaches the marine end compartment.	None	None	EN6	None	kg N eq.	EUTREND model	ReCiPe2008\nEUPEF+21	5	x	LCA	S,M	NORMALIZED_RATIO_STRATEGY		0.125	Product-level adaptation of org-level EF/PEF impact category (EUPEF+21).
EN6-6	Eutrophication: Freshwater	Measures the eutrophication occurs when excess nutrients (mainly nitrogen and phosphorus) from sources like fertilizers and sewage accelerate the growth of algae, which reaches the freshwater end compartment.	None	None	EN6	None	kg P eq.	EUTREND model	ReCiPe2008\nEUEP-FW\nEUPEF+21	5	x	LCA	S,M	NORMALIZED_RATIO_STRATEGY		0.125	Product-level adaptation of org-level EF/PEF impact category (EUPEF+21).
EN6-7	Acidification	Measures the impact of acidifying substances primarily nitrogen oxides (NOx), ammonia (NH3​), and sulfur oxides (SOx), which release hydrogen ions when mineralized.	None	None	EN6	None	Mole of H+ eq.	Accumulated Exceedance (AE) model	ILCD2011\nEUPEF+21	5	x	LCA	S,M,E	NORMALIZED_RATIO_STRATEGY		0.125	Product-level adaptation of org-level EF/PEF impact category (EUPEF+21).
EN6-8	Ionizing radiation	Measures the adverse effects on human health resulting from exposure to radioactive releases into the environment.	None	None	EN6	None	kBq U-235 eq.	Human health effect model	FR+00\nEUPEF+21	5	x	LCA	All	NORMALIZED_RATIO_STRATEGY		0.125	Product-level adaptation of org-level EF/PEF impact category (EUPEF+21).
EN7-1	Human toxicity: cancer	Measures the adverse health effects on human beings related to the intake of toxic substances that are known to cause cancer.	None	None	=HYPERLINK("#'Environmental Impact'!A57:Q57","EN7")	None	CTUh	Characterised result (CTUh, USEtox) ÷ EF normalisation factor (Target Max); Min = 0.	USEtox2.0\nEUPEF+21	5	x	LCA	S,M,D,U	NORMALIZED_RATIO_STRATEGY		0.3333	Product-level adaptation of org-level EF/PEF impact category (EUPEF+21).
